latitude,longitude,tick,Company,radius,TROBA,CODIGO
-80.64637762,-5.1834675,INC000001830255,TELEFONICA DEL PERU,8392316.072146092,BAG006,BAG0060106
-80.6431133,-5.1797293,INC000001850009,TELEFONICA DEL PERU,8392281.602496943,BAG006,BAG0060107
-80.642017,-5.174711,INC000001844158,TELEFONICA DEL PERU,8392335.765085466,BAG006,BAG0060108
-80.64134158,-5.181438401,INC000001849756,TELEFONICA DEL PERU,8392197.618361719,BAG006,BAG0060209
-80.64000873,-5.202449,INC000001674579,TELEFONICA DEL PERU,8391789.842111511,BAG006,BAG0060210
-80.6375615,-5.194161,INC000001847120,TELEFONICA DEL PERU,8391859.79875425,BAG006,BAG0060211
-80.63748569,-5.19164619,INC000001821121,TELEFONICA DEL PERU,8391901.42579942,BAG006,BAG0060212
-80.63673856,-5.19594906,INC000001850933,TELEFONICA DEL PERU,8391803.388731262,BAG006,BAG0060213
-80.63613409,-5.2074915,INC000001852349,TELEFONICA DEL PERU,8391583.185780717,BAG006,BAG0060214
-80.635038,-5.174236,INC000001852204,TELEFONICA DEL PERU,8392130.926337563,BAG006,BAG0060215
-80.63497236,-5.2066095,INC000001852277,TELEFONICA DEL PERU,8391563.051930903,BAG006,BAG0060216
-80.63493392,-5.1615615,INC000001850709,TELEFONICA DEL PERU,8392349.31646588,BAG006,BAG0060317
-80.634921,-5.163465,INC000001851653,TELEFONICA DEL PERU,8392315.645368062,BAG006,BAG0060318
-80.6346377,-5.190458129,INC000001847273,TELEFONICA DEL PERU,8391835.127169615,BAG006,BAG0060319
-80.63453453,-5.20598888,INC000001852308,TELEFONICA DEL PERU,8391560.502769297,BAG006,BAG0060320
-80.6343988,-5.2058585,INC000001852080,TELEFONICA DEL PERU,8391558.628757644,BAG006,BAG0060321
-80.63395938,-5.207276937,INC000001852226,TELEFONICA DEL PERU,8391520.389798665,BAG006,BAG0060322
-80.63393322,-5.20453774,INC000001852339,TELEFONICA DEL PERU,8391567.470536603,BAG006,BAG0060323
-80.633908,-5.202452,INC000001852297,TELEFONICA DEL PERU,8391603.158262052,BAG006,BAG0060424
-80.633888,-5.204348,INC000001852351,TELEFONICA DEL PERU,8391569.40376999,BAG006,BAG0060425
-80.633764,-5.2021905,INC000001848539,TELEFONICA DEL PERU,8391603.324466936,BAG006,BAG0060426
-80.633764,-5.2021905,INC000001852205,TELEFONICA DEL PERU,8391603.324466936,BAG006,BAG0060427
-80.63370412,-5.2015405,INC000001852118,TELEFONICA DEL PERU,8391612.85527861,BAG006,BAG0060428
-80.6332115,-5.23007038,INC000001852327,TELEFONICA DEL PERU,8391099.070037404,BAG006,BAG0060429
-80.63310832,-5.18566712,INC000001461969,TELEFONICA DEL PERU,8391872.139218371,BAG006,BAG0060430
-80.63276015,-5.205264422,INC000001852293,TELEFONICA DEL PERU,8391518.877750183,BAG006,BAG0060531
-80.63240619,-5.2048935,INC000001846912,TELEFONICA DEL PERU,8391514.53321316,BAG006,BAG0060532
-80.6323145,-5.202307,INC000001848760,TELEFONICA DEL PERU,8391556.948467266,BAG006,BAG0060533
-80.63229115,-5.20463299,INC000001852242,TELEFONICA DEL PERU,8391515.568222323,BAG006,BAG0060534
-80.632286,-5.207674,INC000001852265,TELEFONICA DEL PERU,8391462.24444545,BAG006,BAG0060535
-80.63225562,-5.20561136,INC000001850162,TELEFONICA DEL PERU,8391497.376171222,BAG006,BAG0060536
-80.63217909,-5.202586412,INC000001852148,TELEFONICA DEL PERU,8391547.921264023,BAG006,BAG0060637
-80.63213552,-5.16372716,INC000001849387,TELEFONICA DEL PERU,8392226.056317862,BAG006,BAG0060638
-80.63205093,-5.19436437,INC000001150302,TELEFONICA DEL PERU,8391687.756612208,BAG006,BAG0060639
-80.63174053,-5.2064635,INC000001852219,TELEFONICA DEL PERU,8391466.717978086,BAG006,BAG0060640
-80.631703,-5.204684,INC000001851821,TELEFONICA DEL PERU,8391496.682856603,BAG006,BAG0060641
-80.63165163,-5.203688,INC000001852247,TELEFONICA DEL PERU,8391512.525777936,BAG008,BAG0080101
-80.63144701,-5.203271,INC000001852272,TELEFONICA DEL PERU,8391513.557363555,BAG008,BAG0080102
-80.6313364,-5.2029863,INC000001852335,TELEFONICA DEL PERU,8391515.15175807,BAG008,BAG0080201
-80.63115035,-5.20497,INC000001852139,TELEFONICA DEL PERU,8391474.774725866,BAG008,BAG0080301
-80.6310773,-5.17602896,INC000001678279,TELEFONICA DEL PERU,8391978.62314085,BAG008,BAG0080302
-80.63091805,-5.19261748,INC000001176711,TELEFONICA DEL PERU,8391683.667449508,BAG016,BAG0160101
-80.63049203,-5.204327,INC000001852255,TELEFONICA DEL PERU,8391465.878314584,BAG016,BAG0160102
-80.630476,-5.20475,INC000001852302,TELEFONICA DEL PERU,8391457.99108878,BAG016,BAG0160103
-80.62961627,-5.17313489,INC000001852303,TELEFONICA DEL PERU,8391984.624310449,BAG016,BAG0160104
-80.62952716,-5.17135006,INC000001639694,TELEFONICA DEL PERU,8392013.122280452,BAG016,BAG0160105
-80.6295268,-5.218176117,INC000001852300,TELEFONICA DEL PERU,8391194.159547498,BAG016,BAG0160106
-80.62920953,-5.222558383,INC000001852294,TELEFONICA DEL PERU,8391107.810220579,BAG016,BAG0160107
-80.62887138,-5.1730065,INC000001819122,TELEFONICA DEL PERU,8391964.126344372,BAG016,BAG0160208
-80.62866044,-5.19101823,INC000001851895,TELEFONICA DEL PERU,8391642.625346884,BAG016,BAG0160209
-80.62811027,-5.17093,INC000001773250,TELEFONICA DEL PERU,8391977.213745039,BAG016,BAG0160210
-80.627933,-5.221422,INC000001852206,TELEFONICA DEL PERU,8391088.59129893,BAG016,BAG0160211
