latitude_x,longitude_x,tick,Company,distance,longitude_y,latitude_y,TROBA,CODIGO
-80.67937,-5.2682,INC000001852128,TELEFONICA DEL PERU,99.23027323920032,-77.02086695,-12.13593915,BAG003,BAG0030315
-80.678685,-5.26777136,INC000001852160,TELEFONICA DEL PERU,99.22942844021331,-77.02062595,-12.1366736,BAG003,BAG0030316
-80.67827702,-5.26825727,INC000001852075,TELEFONICA DEL PERU,99.22910533262096,-77.02107602,-12.13669587,BAG003,BAG0030317
-80.67797787,-4.90768104,INC000001850478,TELEFONICA DEL PERU,99.49060730440293,-77.02237307,-12.13709857,BAG003,BAG0030318
-80.67730278,-5.1766125,INC000001655058,TELEFONICA DEL PERU,99.29496480030473,-77.02155563,-12.13684625,BAG003,BAG0030419
-80.67706747,-5.26351003,INC000001852100,TELEFONICA DEL PERU,99.23071544067454,-77.02021652,-12.13722533,BAG003,BAG0030420
-80.67536891,-5.26564492,INC000001852243,TELEFONICA DEL PERU,99.22822739443384,-77.02066783,-12.13736632,BAG003,BAG0030421
-80.6750785,-5.266969,INC000001852313,TELEFONICA DEL PERU,99.22727889074969,-77.02107667,-12.13749094,BAG003,BAG0030422
-80.67488953,-5.26569162,INC000001852357,TELEFONICA DEL PERU,99.22852762201776,-77.02197552,-12.13777247,BAG003,BAG0030423
-80.67478636,-5.26163424,INC000001852315,TELEFONICA DEL PERU,99.23117534256119,-77.02154822,-12.13763654,BAG003,BAG0030524
-80.6745311,-4.889066393,INC000001434431,TELEFONICA DEL PERU,99.50110441875499,-77.02191701,-12.13752181,BAG003,BAG0030525
-80.67435,-5.265994,INC000001852263,TELEFONICA DEL PERU,99.22934132046258,-77.02605083,-12.14000516,BAG004,BAG0040101
-80.67429,-5.26350402,INC000001852228,TELEFONICA DEL PERU,99.2303791045372,-77.02443607,-12.13935899,BAG004,BAG0040102
-80.67388438,-5.26461945,INC000001852341,TELEFONICA DEL PERU,99.22909146995745,-77.02465645,-12.13988053,BAG004,BAG0040103
-80.67385854,-5.27207787,INC000001852212,TELEFONICA DEL PERU,99.22516714271394,-77.02471775,-12.13779165,BAG004,BAG0040104
-80.67322594,-5.26080625,INC000001852345,TELEFONICA DEL PERU,99.23278729957039,-77.02490474,-12.13812367,BAG004,BAG0040105
-80.6729204,-5.18317505,INC000001849676,TELEFONICA DEL PERU,99.28864039808195,-77.02508647,-12.13844823,BAG004,BAG0040106
-80.67245425,-4.88233084,INC000001782992,TELEFONICA DEL PERU,99.5057118023137,-77.02542532,-12.13953807,BAG004,BAG0040107
-80.67245425,-4.88233084,INC000001851383,TELEFONICA DEL PERU,99.50559396085296,-77.02555024,-12.13984067,BAG004,BAG0040208
-80.67168,-4.89198,INC000001841508,TELEFONICA DEL PERU,99.49578273535714,-77.02239565,-12.13983397,BAG005,BAG0050101
-80.67159268,-5.25994452,INC000001836848,TELEFONICA DEL PERU,99.22988811046365,-77.02352346,-12.14014419,BAG005,BAG0050102
-80.67145224,-4.90109119,INC000001840083,TELEFONICA DEL PERU,99.48813205698468,-77.02254839,-12.14128493,BAG005,BAG0050103
-80.67114621,-4.88921772,INC000000903711,TELEFONICA DEL PERU,99.4968920123977,-77.02309142,-12.14132945,BAG005,BAG0050104
-80.67036843,-5.2695795,INC000001851276,TELEFONICA DEL PERU,99.22072734532692,-77.02425842,-12.14286455,BAG005,BAG0050105
-80.667474,-5.261757,INC000001852287,TELEFONICA DEL PERU,99.22455596198179,-77.02408451,-12.14243583,BAG005,BAG0050106
-80.66432977,-5.1904455,INC000001254976,TELEFONICA DEL PERU,99.27438213792489,-77.02432216,-12.14209168,BAG005,BAG0050107
-80.66339552,-5.16555,INC000001797691,TELEFONICA DEL PERU,99.29250967971436,-77.02477136,-12.1414663,BAG005,BAG0050208
-80.659625,-5.188677,INC000001842664,TELEFONICA DEL PERU,99.27316952091597,-77.02476857,-12.14146584,BAG005,BAG0050209
-80.6574566,-5.23057821,INC000001851129,TELEFONICA DEL PERU,99.24195381245318,-77.02482664,-12.14066093,BAG005,BAG0050210
-80.65602837,-5.16270486,INC000001850779,TELEFONICA DEL PERU,99.28919347674452,-77.024339,-12.14143518,BAG005,BAG0050211
-80.65477592,-5.19285307,INC000001225174,TELEFONICA DEL PERU,99.25876626053928,-77.02330082,-12.15156829,BAG006,BAG0060101
-80.650489,-5.199864,INC000001851992,TELEFONICA DEL PERU,99.25036752769303,-77.02249244,-12.15125179,BAG006,BAG0060102
-80.64987801,-5.19271308,INC000001841869,TELEFONICA DEL PERU,99.25539394778508,-77.02270162,-12.15107529,BAG006,BAG0060103
-80.64920005,-5.1998855,INC000001848543,TELEFONICA DEL PERU,99.25011443781983,-77.02279854,-12.15062796,BAG006,BAG0060104
-80.64917345,-5.198986,INC000001850833,TELEFONICA DEL PERU,99.25053403371989,-77.02219798,-12.15030684,BAG006,BAG0060105
-80.64637762,-5.1834675,INC000001830255,TELEFONICA DEL PERU,99.26002279155811,-77.02258832,-12.15044457,BAG006,BAG0060106
-80.6431133,-5.1797293,INC000001850009,TELEFONICA DEL PERU,99.26095104042551,-77.02205206,-12.14919341,BAG006,BAG0060107
-80.642017,-5.174711,INC000001844158,TELEFONICA DEL PERU,99.26372314590175,-77.02225465,-12.14955607,BAG006,BAG0060108
-80.64134158,-5.181438401,INC000001849756,TELEFONICA DEL PERU,99.25876048390232,-77.02321119,-12.15001939,BAG006,BAG0060209
-80.64000873,-5.202449,INC000001674579,TELEFONICA DEL PERU,99.2433213172719,-77.02247265,-12.14824989,BAG006,BAG0060210
-80.6375615,-5.194161,INC000001847120,TELEFONICA DEL PERU,99.24760594752075,-77.02337768,-12.14923463,BAG006,BAG0060211
-80.63748569,-5.19164619,INC000001821121,TELEFONICA DEL PERU,99.24966720980392,-77.02333488,-12.14876442,BAG006,BAG0060212
-80.63673856,-5.19594906,INC000001850933,TELEFONICA DEL PERU,99.24514870801403,-77.02183644,-12.14848085,BAG006,BAG0060213
-80.63613409,-5.2074915,INC000001852349,TELEFONICA DEL PERU,99.23670936937471,-77.02192094,-12.1480898,BAG006,BAG0060214
-80.635038,-5.174236,INC000001852204,TELEFONICA DEL PERU,99.26018221263998,-77.02171481,-12.1476409,BAG006,BAG0060215
-80.63497236,-5.2066095,INC000001852277,TELEFONICA DEL PERU,99.23691762940419,-77.02203938,-12.14767535,BAG006,BAG0060216
-80.63493392,-5.1615615,INC000001850709,TELEFONICA DEL PERU,99.2696952202201,-77.02233746,-12.14769958,BAG006,BAG0060317
-80.634921,-5.163465,INC000001851653,TELEFONICA DEL PERU,99.26865180329641,-77.02306538,-12.14796557,BAG006,BAG0060318
-80.6346377,-5.190458129,INC000001847273,TELEFONICA DEL PERU,99.2522647322153,-77.02226733,-12.1422787,BAG006,BAG0060319
-80.63453453,-5.20598888,INC000001852308,TELEFONICA DEL PERU,99.24129533730218,-77.0232104,-12.14277303,BAG006,BAG0060320
-80.6343988,-5.2058585,INC000001852080,TELEFONICA DEL PERU,99.24055661078933,-77.02304185,-12.14366766,BAG006,BAG0060321
-80.63395938,-5.207276937,INC000001852226,TELEFONICA DEL PERU,99.23835898451038,-77.02197768,-12.14380935,BAG006,BAG0060322
-80.63393322,-5.20453774,INC000001852339,TELEFONICA DEL PERU,99.23921837741236,-77.02184958,-12.14527588,BAG006,BAG0060323
-80.633908,-5.202452,INC000001852297,TELEFONICA DEL PERU,99.24127599102908,-77.02199213,-12.1446058,BAG006,BAG0060424
-80.633888,-5.204348,INC000001852351,TELEFONICA DEL PERU,99.24014363283959,-77.02237409,-12.14463894,BAG006,BAG0060425
-80.633764,-5.2021905,INC000001848539,TELEFONICA DEL PERU,99.24157729419828,-77.02290115,-12.14525266,BAG006,BAG0060426
-80.633764,-5.2021905,INC000001852205,TELEFONICA DEL PERU,99.24186425842306,-77.02274199,-12.14466994,BAG006,BAG0060427
-80.63370412,-5.2015405,INC000001852118,TELEFONICA DEL PERU,99.24401960204808,-77.02407128,-12.1435625,BAG006,BAG0060428
-80.6332115,-5.23007038,INC000001852327,TELEFONICA DEL PERU,99.22245716899494,-77.02398005,-12.14430334,BAG006,BAG0060429
-80.63310832,-5.18566712,INC000001461969,TELEFONICA DEL PERU,99.2541346435445,-77.02389568,-12.14477237,BAG006,BAG0060430
-80.63276015,-5.205264422,INC000001852293,TELEFONICA DEL PERU,99.23920998194576,-77.02314213,-12.14470835,BAG006,BAG0060531
-80.63240619,-5.2048935,INC000001846912,TELEFONICA DEL PERU,99.23722814496031,-77.02259846,-12.14704495,BAG006,BAG0060532
-80.6323145,-5.202307,INC000001848760,TELEFONICA DEL PERU,99.23922378220159,-77.02303628,-12.14723304,BAG006,BAG0060533
-80.63229115,-5.20463299,INC000001852242,TELEFONICA DEL PERU,99.23789547319844,-77.02345106,-12.14713021,BAG006,BAG0060534
-80.632286,-5.207674,INC000001852265,TELEFONICA DEL PERU,99.2364644806958,-77.0237881,-12.14636308,BAG006,BAG0060535
-80.63225562,-5.20561136,INC000001850162,TELEFONICA DEL PERU,99.23770160188259,-77.02339794,-12.14629392,BAG006,BAG0060536
-80.63217909,-5.202586412,INC000001852148,TELEFONICA DEL PERU,99.23839100376367,-77.02178406,-12.14669816,BAG006,BAG0060637
-80.63213552,-5.16372716,INC000001849387,TELEFONICA DEL PERU,99.26665723908458,-77.02218815,-12.14687562,BAG006,BAG0060638
-80.63205093,-5.19436437,INC000001150302,TELEFONICA DEL PERU,99.2447497019179,-77.02225792,-12.14647543,BAG006,BAG0060639
-80.63174053,-5.2064635,INC000001852219,TELEFONICA DEL PERU,99.23600058085242,-77.02200354,-12.14588783,BAG006,BAG0060640
-80.631703,-5.204684,INC000001851821,TELEFONICA DEL PERU,99.23737063277397,-77.02238174,-12.14612772,BAG006,BAG0060641
-80.63165163,-5.203688,INC000001852247,TELEFONICA DEL PERU,99.22377793186894,-77.00752566,-12.15123834,BAG008,BAG0080101
-80.63144701,-5.203271,INC000001852272,TELEFONICA DEL PERU,99.22396471311242,-77.00752701,-12.15120174,BAG008,BAG0080102
-80.6313364,-5.2029863,INC000001852335,TELEFONICA DEL PERU,99.22504467607449,-77.00786972,-12.15018419,BAG008,BAG0080201
-80.63115035,-5.20497,INC000001852139,TELEFONICA DEL PERU,99.22234908031112,-77.0069009,-12.15080809,BAG008,BAG0080301
-80.6310773,-5.17602896,INC000001678279,TELEFONICA DEL PERU,99.24325439397482,-77.00686679,-12.15075692,BAG008,BAG0080302
-80.63091805,-5.19261748,INC000001176711,TELEFONICA DEL PERU,99.23914127713189,-77.00743004,-12.13975177,BAG016,BAG0160101
-80.63049203,-5.204327,INC000001852255,TELEFONICA DEL PERU,99.22993756755132,-77.00724956,-12.14019475,BAG016,BAG0160102
-80.630476,-5.20475,INC000001852302,TELEFONICA DEL PERU,99.22962703834087,-77.00702577,-12.13995055,BAG016,BAG0160103
-80.62961627,-5.17313489,INC000001852303,TELEFONICA DEL PERU,99.2514491041482,-77.00701061,-12.14060658,BAG016,BAG0160104
-80.62952716,-5.17135006,INC000001639694,TELEFONICA DEL PERU,99.2526737855627,-77.00669907,-12.14028796,BAG016,BAG0160105
-80.6295268,-5.218176117,INC000001852300,TELEFONICA DEL PERU,99.22033670339052,-77.00788527,-12.13928753,BAG016,BAG0160106
-80.62920953,-5.222558383,INC000001852294,TELEFONICA DEL PERU,99.21598899006474,-77.00677213,-12.13950864,BAG016,BAG0160107
-80.62887138,-5.1730065,INC000001819122,TELEFONICA DEL PERU,99.25140152964865,-77.00665937,-12.1396969,BAG016,BAG0160208
-80.62866044,-5.19101823,INC000001851895,TELEFONICA DEL PERU,99.2374311466364,-77.00627861,-12.14044162,BAG016,BAG0160209
-80.62811027,-5.17093,INC000001773250,TELEFONICA DEL PERU,99.25101538908224,-77.00574155,-12.14071066,BAG016,BAG0160210
-80.627933,-5.221422,INC000001852206,TELEFONICA DEL PERU,99.21421694100522,-77.00595508,-12.14113388,BAG016,BAG0160211
-80.62785915,-5.22446742,INC000001852117,TELEFONICA DEL PERU,99.21226812326181,-77.00615386,-12.14089953,BAG016,BAG0160212
-80.62766288,-5.21980411,INC000001852154,TELEFONICA DEL PERU,99.21573626675524,-77.00621834,-12.14063451,BAG016,BAG0160313
-80.62755517,-5.21781841,INC000001852145,TELEFONICA DEL PERU,99.21660645975867,-77.00608105,-12.14120365,BAG016,BAG0160314
-80.62746503,-5.2256369,INC000001852147,TELEFONICA DEL PERU,99.21040707834804,-77.00596418,-12.14177683,BAG016,BAG0160315
-80.6270423,-5.22480686,INC000001852218,TELEFONICA DEL PERU,99.21036485633675,-77.00586495,-12.14218124,BAG016,BAG0160316
-80.62648483,-5.22623796,INC000001852301,TELEFONICA DEL PERU,99.20851175367551,-77.00574481,-12.14268236,BAG016,BAG0160317
-80.62631271,-5.22218171,INC000001852328,TELEFONICA DEL PERU,99.21199518224758,-77.00708099,-12.14311606,BAG016,BAG0160318
-80.62627996,-5.221788,INC000001852295,TELEFONICA DEL PERU,99.21195781654885,-77.0067001,-12.14315088,BAG016,BAG0160419
-80.62607429,-5.1724785,INC000001850151,TELEFONICA DEL PERU,99.24746925038696,-77.00623307,-12.14270509,BAG016,BAG0160420
-80.62597906,-5.19681561,INC000001846937,TELEFONICA DEL PERU,99.22964116011968,-77.00627806,-12.14296812,BAG016,BAG0160421
-80.62564086,-5.22530354,INC000001852140,TELEFONICA DEL PERU,99.20864711987348,-77.00632225,-12.14322694,BAG016,BAG0160422
-80.62522232,-5.18940385,INC000001680208,TELEFONICA DEL PERU,99.23311625858469,-77.00525568,-12.14387604,BAG016,BAG0160423
-80.6251873,-5.22371815,INC000001852106,TELEFONICA DEL PERU,99.20743708316436,-77.00513085,-12.14493932,BAG016,BAG0160424
-80.62509671,-5.20872926,INC000001852355,TELEFONICA DEL PERU,99.218180155006,-77.00503298,-12.14489486,BAG016,BAG0160525
-80.62467,-5.213793,INC000001852249,TELEFONICA DEL PERU,99.21469994346883,-77.00538729,-12.14457308,BAG016,BAG0160526
-80.62453432,-5.21809284,INC000001852151,TELEFONICA DEL PERU,99.21167684453692,-77.00515931,-12.14407061,BAG016,BAG0160527
-80.624529,-5.223002,INC000001852322,TELEFONICA DEL PERU,99.2073161355185,-77.00457551,-12.1446248,BAG016,BAG0160528
-80.62418213,-5.2229525,INC000001852233,TELEFONICA DEL PERU,99.20711429490073,-77.00436054,-12.14439689,BAG016,BAG0160529
-80.6241175,-5.17434749,INC000001851751,TELEFONICA DEL PERU,99.24261446981384,-77.00468901,-12.14420392,BAG016,BAG0160630
-80.6240295,-5.2241605,INC000001852229,TELEFONICA DEL PERU,99.20746869486985,-77.0050899,-12.14322913,BAG016,BAG0160631
-80.62390999,-5.20780323,INC000001852144,TELEFONICA DEL PERU,99.21883768994924,-77.00465617,-12.14333128,BAG016,BAG0160632
-80.62388604,-5.22381608,INC000001850751,TELEFONICA DEL PERU,99.20723690711428,-77.00481957,-12.14349912,BAG016,BAG0160633
-80.62380014,-5.21786051,INC000001852224,TELEFONICA DEL PERU,99.21451037991432,-77.00817222,-12.14263328,BAG017,BAG0170101
-80.6234189,-5.20418024,INC000001852283,TELEFONICA DEL PERU,99.22373552076569,-77.00814068,-12.1431958,BAG017,BAG0170102
-80.62339129,-5.20201477,INC000001667841,TELEFONICA DEL PERU,99.22552926386898,-77.00861715,-12.14333936,BAG017,BAG0170103
-80.62315368,-5.185147,INC000001852271,TELEFONICA DEL PERU,99.23683742846175,-77.00844657,-12.14422596,BAG017,BAG0170104
-80.62297198,-5.184248095,INC000001852053,TELEFONICA DEL PERU,99.23774336135817,-77.00719589,-12.14236248,BAG017,BAG0170105
-80.62263634,-5.2102304,INC000001836966,TELEFONICA DEL PERU,99.21953049137744,-77.0088922,-12.14295034,BAG017,BAG0170206
-80.62261673,-5.18956224,INC000001852354,TELEFONICA DEL PERU,99.23411168882532,-77.00850892,-12.14307365,BAG017,BAG0170207
-80.62258,-5.224347,INC000001852256,TELEFONICA DEL PERU,99.20818178214795,-77.00831113,-12.14392766,BAG017,BAG0170208
-80.62248026,-5.1837785,INC000001844968,TELEFONICA DEL PERU,99.23757658490443,-77.00817251,-12.14362928,BAG017,BAG0170209
-80.62245074,-5.20311429,INC000001425965,TELEFONICA DEL PERU,99.22370841022592,-77.00797171,-12.14320745,BAG017,BAG0170210
-80.62161362,-5.21428891,INC000001681623,TELEFONICA DEL PERU,99.21487948372145,-77.00744385,-12.14289273,BAG017,BAG0170211
